,sunrise,sunset,solar_noon,day_length,civil_twilight_begin,civil_twilight_end,nautical_twilight_begin,nautical_twilight_end,astronomical_twilight_begin,astronomical_twilight_end
98,5:36:41 AM,7:16:27 PM,12:26:34 PM,13:39:46,5:02:07 AM,7:51:01 PM,4:17:11 AM,8:35:57 PM,3:26:56 AM,9:26:12 PM
99,5:34:20 AM,7:18:16 PM,12:26:18 PM,13:43:56,4:59:38 AM,7:52:58 PM,4:14:26 AM,8:38:10 PM,3:23:38 AM,9:28:58 PM
100,5:32:00 AM,7:20:05 PM,12:26:02 PM,13:48:05,4:57:09 AM,7:54:55 PM,4:11:40 AM,8:40:25 PM,3:20:18 AM,9:31:46 PM
101,5:29:40 AM,7:21:54 PM,12:25:47 PM,13:52:14,4:54:41 AM,7:56:53 PM,4:08:53 AM,8:42:40 PM,3:16:56 AM,9:34:37 PM
102,5:27:20 AM,7:23:43 PM,12:25:31 PM,13:56:23,4:52:12 AM,7:58:51 PM,4:06:06 AM,8:44:57 PM,3:13:32 AM,9:37:31 PM
103,5:25:02 AM,7:25:32 PM,12:25:17 PM,14:00:30,4:49:44 AM,8:00:49 PM,4:03:19 AM,8:47:14 PM,3:10:07 AM,9:40:27 PM
104,5:22:43 AM,7:27:21 PM,12:25:02 PM,14:04:38,4:47:17 AM,8:02:47 PM,4:00:32 AM,8:49:32 PM,3:06:39 AM,9:43:26 PM
105,5:20:26 AM,7:29:10 PM,12:24:48 PM,14:08:44,4:44:50 AM,8:04:46 PM,3:57:44 AM,8:51:51 PM,3:03:08 AM,9:46:28 PM
106,5:18:09 AM,7:30:59 PM,12:24:34 PM,14:12:50,4:42:23 AM,8:06:45 PM,3:54:57 AM,8:54:12 PM,2:59:36 AM,9:49:33 PM
107,5:15:54 AM,7:32:48 PM,12:24:21 PM,14:16:54,4:39:57 AM,8:08:44 PM,3:52:09 AM,8:56:33 PM,2:56:01 AM,9:52:41 PM
108,5:13:39 AM,7:34:37 PM,12:24:08 PM,14:20:58,4:37:31 AM,8:10:44 PM,3:49:20 AM,8:58:55 PM,2:52:23 AM,9:55:53 PM
109,5:11:25 AM,7:36:26 PM,12:23:55 PM,14:25:01,4:35:06 AM,8:12:44 PM,3:46:32 AM,9:01:19 PM,2:48:42 AM,9:59:08 PM
110,5:09:11 AM,7:38:15 PM,12:23:43 PM,14:29:04,4:32:42 AM,8:14:44 PM,3:43:43 AM,9:03:43 PM,2:44:59 AM,10:02:27 PM
111,5:06:59 AM,7:40:04 PM,12:23:31 PM,14:33:05,4:30:18 AM,8:16:45 PM,3:40:54 AM,9:06:08 PM,2:41:13 AM,10:05:50 PM
112,5:04:48 AM,7:41:52 PM,12:23:20 PM,14:37:04,4:27:55 AM,8:18:45 PM,3:38:05 AM,9:08:35 PM,2:37:23 AM,10:09:17 PM
113,5:02:38 AM,7:43:41 PM,12:23:09 PM,14:41:03,4:25:32 AM,8:20:46 PM,3:35:16 AM,9:11:02 PM,2:33:29 AM,10:12:49 PM
114,5:00:28 AM,7:45:30 PM,12:22:59 PM,14:45:02,4:23:11 AM,8:22:47 PM,3:32:27 AM,9:13:31 PM,2:29:32 AM,10:16:26 PM
115,4:58:20 AM,7:47:18 PM,12:22:49 PM,14:48:58,4:20:50 AM,8:24:49 PM,3:29:38 AM,9:16:00 PM,2:25:31 AM,10:20:07 PM
116,4:56:13 AM,7:49:06 PM,12:22:40 PM,14:52:53,4:18:30 AM,8:26:50 PM,3:26:49 AM,9:18:31 PM,2:21:25 AM,10:23:55 PM
117,4:54:08 AM,7:50:54 PM,12:22:31 PM,14:56:46,4:16:11 AM,8:28:52 PM,3:24:00 AM,9:21:02 PM,2:17:14 AM,10:27:48 PM
118,4:52:03 AM,7:52:42 PM,12:22:23 PM,15:00:39,4:13:52 AM,8:30:53 PM,3:21:11 AM,9:23:35 PM,2:12:58 AM,10:31:48 PM
119,4:50:00 AM,7:54:30 PM,12:22:15 PM,15:04:30,4:11:35 AM,8:32:55 PM,3:18:22 AM,9:26:08 PM,2:08:35 AM,10:35:55 PM
120,4:47:58 AM,7:56:17 PM,12:22:08 PM,15:08:19,4:09:19 AM,8:34:56 PM,3:15:33 AM,9:28:43 PM,2:04:05 AM,10:40:10 PM
121,4:45:58 AM,7:58:04 PM,12:22:01 PM,15:12:06,4:07:04 AM,8:36:58 PM,3:12:44 AM,9:31:18 PM,1:59:28 AM,10:44:34 PM
122,4:43:59 AM,7:59:51 PM,12:21:55 PM,15:15:52,4:04:50 AM,8:39:00 PM,3:09:56 AM,9:33:54 PM,1:54:42 AM,10:49:08 PM
123,4:42:01 AM,8:01:37 PM,12:21:49 PM,15:19:36,4:02:38 AM,8:41:01 PM,3:07:07 AM,9:36:32 PM,1:49:45 AM,10:53:53 PM
124,4:40:05 AM,8:03:23 PM,12:21:44 PM,15:23:18,4:00:26 AM,8:43:02 PM,3:04:19 AM,9:39:10 PM,1:44:37 AM,10:58:52 PM
125,4:38:11 AM,8:05:09 PM,12:21:40 PM,15:26:58,3:58:16 AM,8:45:04 PM,3:01:31 AM,9:41:49 PM,1:39:13 AM,11:04:06 PM
126,4:36:18 AM,8:06:54 PM,12:21:36 PM,15:30:36,3:56:07 AM,8:47:04 PM,2:58:43 AM,9:44:28 PM,1:33:33 AM,11:09:39 PM
127,4:34:27 AM,8:08:38 PM,12:21:33 PM,15:34:11,3:54:00 AM,8:49:05 PM,2:55:56 AM,9:47:09 PM,1:27:30 AM,11:15:36 PM
128,4:32:38 AM,8:10:22 PM,12:21:30 PM,15:37:44,3:51:54 AM,8:51:05 PM,2:53:09 AM,9:49:50 PM,1:20:58 AM,11:22:02 PM
129,4:30:50 AM,8:12:05 PM,12:21:28 PM,15:41:15,3:49:50 AM,8:53:05 PM,2:50:23 AM,9:52:33 PM,1:13:46 AM,11:29:09 PM
130,4:29:04 AM,8:13:48 PM,12:21:26 PM,15:44:44,3:47:48 AM,8:55:04 PM,2:47:37 AM,9:55:15 PM,1:05:35 AM,11:37:17 PM
131,4:27:20 AM,8:15:29 PM,12:21:25 PM,15:48:09,3:45:47 AM,8:57:03 PM,2:44:51 AM,9:57:59 PM,12:55:43 AM,11:47:07 PM
132,4:25:39 AM,8:17:10 PM,12:21:24 PM,15:51:31,3:43:48 AM,8:59:01 PM,2:42:06 AM,10:00:42 PM,12:41:52 AM,12:00:57 AM
133,4:23:59 AM,8:18:50 PM,12:21:25 PM,15:54:51,3:41:51 AM,9:00:58 PM,2:39:22 AM,10:03:27 PM,12:00:01 AM,12:00:01 AM
134,4:22:21 AM,8:20:29 PM,12:21:25 PM,15:58:08,3:39:56 AM,9:02:55 PM,2:36:39 AM,10:06:11 PM,12:00:01 AM,12:00:01 AM
135,4:20:45 AM,8:22:07 PM,12:21:26 PM,16:01:22,3:38:03 AM,9:04:50 PM,2:33:56 AM,10:08:57 PM,12:00:01 AM,12:00:01 AM
136,4:19:12 AM,8:23:44 PM,12:21:28 PM,16:04:32,3:36:12 AM,9:06:45 PM,2:31:15 AM,10:11:42 PM,12:00:01 AM,12:00:01 AM
137,4:17:41 AM,8:25:20 PM,12:21:31 PM,16:07:39,3:34:23 AM,9:08:38 PM,2:28:34 AM,10:14:27 PM,12:00:01 AM,12:00:01 AM
138,4:16:12 AM,8:26:55 PM,12:21:33 PM,16:10:43,3:32:36 AM,9:10:31 PM,2:25:54 AM,10:17:13 PM,12:00:01 AM,12:00:01 AM
139,4:14:45 AM,8:28:28 PM,12:21:37 PM,16:13:43,3:30:52 AM,9:12:22 PM,2:23:15 AM,10:19:58 PM,12:00:01 AM,12:00:01 AM
140,4:13:21 AM,8:30:00 PM,12:21:41 PM,16:16:39,3:29:10 AM,9:14:12 PM,2:20:38 AM,10:22:43 PM,12:00:01 AM,12:00:01 AM
141,4:11:59 AM,8:31:31 PM,12:21:45 PM,16:19:32,3:27:30 AM,9:16:00 PM,2:18:02 AM,10:25:28 PM,12:00:01 AM,12:00:01 AM
142,4:10:40 AM,8:33:00 PM,12:21:50 PM,16:22:20,3:25:54 AM,9:17:47 PM,2:15:28 AM,10:28:13 PM,12:00:01 AM,12:00:01 AM
143,4:09:24 AM,8:34:28 PM,12:21:56 PM,16:25:04,3:24:20 AM,9:19:32 PM,2:12:55 AM,10:30:57 PM,12:00:01 AM,12:00:01 AM
144,4:08:10 AM,8:35:54 PM,12:22:02 PM,16:27:44,3:22:48 AM,9:21:15 PM,2:10:24 AM,10:33:40 PM,12:00:01 AM,12:00:01 AM
145,4:06:59 AM,8:37:18 PM,12:22:08 PM,16:30:19,3:21:20 AM,9:22:57 PM,2:07:54 AM,10:36:22 PM,12:00:01 AM,12:00:01 AM
146,4:05:50 AM,8:38:40 PM,12:22:15 PM,16:32:50,3:19:54 AM,9:24:36 PM,2:05:27 AM,10:39:03 PM,12:00:01 AM,12:00:01 AM
147,4:04:45 AM,8:40:01 PM,12:22:23 PM,16:35:16,3:18:32 AM,9:26:14 PM,2:03:02 AM,10:41:43 PM,12:00:01 AM,12:00:01 AM
148,4:03:42 AM,8:41:19 PM,12:22:31 PM,16:37:37,3:17:12 AM,9:27:49 PM,2:00:40 AM,10:44:21 PM,12:00:01 AM,12:00:01 AM
149,4:02:42 AM,8:42:36 PM,12:22:39 PM,16:39:54,3:15:56 AM,9:29:22 PM,1:58:20 AM,10:46:58 PM,12:00:01 AM,12:00:01 AM
150,4:01:45 AM,8:43:50 PM,12:22:48 PM,16:42:05,3:14:43 AM,9:30:52 PM,1:56:03 AM,10:49:32 PM,12:00:01 AM,12:00:01 AM
151,4:00:52 AM,8:45:02 PM,12:22:57 PM,16:44:10,3:13:34 AM,9:32:20 PM,1:53:50 AM,10:52:04 PM,12:00:01 AM,12:00:01 AM
152,4:00:01 AM,8:46:12 PM,12:23:06 PM,16:46:11,3:12:28 AM,9:33:45 PM,1:51:39 AM,10:54:33 PM,12:00:01 AM,12:00:01 AM
153,3:59:13 AM,8:47:19 PM,12:23:16 PM,16:48:06,3:11:26 AM,9:35:07 PM,1:49:33 AM,10:57:00 PM,12:00:01 AM,12:00:01 AM
154,3:58:29 AM,8:48:24 PM,12:23:27 PM,16:49:55,3:10:27 AM,9:36:26 PM,1:47:31 AM,10:59:23 PM,12:00:01 AM,12:00:01 AM
